Question	Option1	Option2	Option3	Option4	Option5	Option6	Correct1	Correct2	Type	Question_Annotated
Torpey's study has turned a seemingly __ topic, the passport, into a fascinating one by making an original contribution to the sociology of the state.	ironic	banal	provocative	witty	insipid	stimulating	banal	insipid	Contrast	Torpey's study has turned a seemingly __ topic, the passport, into a *fascinating* one by making an original contribution to the sociology of the state.
Britain is attractive to worldwide advertisers because it is __ market, so there is no need to tailor advertisements for different parts of the country.	a global	an uncomplicated	a vast	a homogeneous	a uniform	an immense	a homogeneous	a uniform	Continuity	Britain is attractive to worldwide advertisers because it is __ market, so there is no need to tailor advertisements for *different* *parts* of the country.
Mr. Hirsch says he will aim to preserve the foundation's support of __ thinkers, individuals who are going against the trends in a field or an acknowledged set of opinions.	iconoclastic	integrative	doctrinaire	heterodox	dogmatic	synthesizing	iconoclastic	heterodox	Continuity	Mr. Hirsch says he will aim to preserve the foundation's support of __ thinkers, individuals who are going *against* the *trends* in a field or an acknowledged set of opinions.
Whereas Henry James preferred urban settings to spin his intricate studies on the human psyche, Thomas Hardy preferred __ backdrops to explore the workings of the mind.	simple	histonic	bucolic	serene	tense	rustic	bucolic	rustic	Contrast	Whereas Henry James preferred *urban* settings to spin his intricate studies on the human psyche, Thomas Hardy preferred __ backdrops to explore the workings of the mind.
The recent spate of quality television dramas-while clearly indebted to the cinematic idiom of the 1970s-represents a(n) __ achievement: never before has any video medium been called on to sustain a narrative for 100 plus hours.	wondrous	incalculable	unambiguous	unprecedented	spotty	groundbreaking	unprecedented	groundbreaking	continuity	The recent spate of quality television dramas-while clearly indebted to the cinematic idiom of the 1970s-represents a(n) __ achievement: *never* *before* has any video medium been called on to sustain a narrative for 100 plus hours.
Though she was too __ to actually speak in front of a large crowd, such timidity did not carry over to the speeches she had written, which resounded with confidence and purpose.	underwhelmed	meek	immobile	plucky	diffident	disenchanted	meek	diffident	continuity/contrast	Though she was too _____ to actually speak in front of a large crowd, such *timidity* did not carry over to the speeches she had written, which resounded with confidence and purpose.
Notwithstanding her tendency to __ when journalists' questions blatantly pried into her personal life, the senator always spoke directly and candidly on issues relating to her public role.	cower	bristle	speak evasively	vacillate	prevaricate	elaborate	speak evasively	prevaricate		Notwithstanding her tendency to __ when journalists' questions blatantly pried into her personal life, the senator always spoke *directly* and *candidly* on issues relating to her public role.
Brutus is often held up as the embodiment of __ -yet, while it is true that he deceived his friend, Julius Caesar, one must not forget that Caesar had become both a danger to himself and the Republic.	ill-will	parsimony	treachery	selflessness	perfidy	cowardice	treachery	perfidy	continuity	Brutus is often held up as the embodiment of __-yet, while it is true that he *deceived* his friend, Julius Caesar, one must not forget that Caesar had become both a danger to himself and the Republic.
Once __ across the Western plains, the buffalo has seriously diminished in number.	sparse	eradicated	innumerable	immutable	legion	thoroughgoing	innumerable 	legion	contrast	Once __ across the Western plains, the buffalo has seriously *diminished* in *number*.
The skirmish between the two beleaguered armies occurred __ with each side taking much needed rest during the respites.	retroactively	spasmodically	invasively	incessantly	spuriously	irregularly	spasmodically	irregularly	continuity	The skirmish between the two beleaguered armies occurred __ with each side taking much needed rest during the *respites*.
